NUMERO;PALABRA;TAG
1;de;ADP
2;la;DET
3;que;SCONJ
4;el;DET
5;en;ADP
6;y;CONJ
7;a;ADP
8;los;DET
9;se;PRON
10;del;ADP
11;las;PRON
12;un;DET
13;por;ADP
14;con;ADP
15;no;ADV
16;una;PRON
17;su;DET
18;para;ADP
19;es;AUX
20;al;ADP
21;lo;PRON
22;como;SCONJ
23;más;ADV
24;o;CONJ
25;pero;CONJ
26;sus;DET
27;le;PRON
28;ha;AUX
29;me;PRON
30;si;SCONJ
31;sin;ADP
32;sobre;ADP
33;este;DET
34;ya;ADV
35;entre;ADP
36;cuando;SCONJ
37;todo;PRON
38;esta;PRON
39;ser;AUX
40;son;AUX
41;dos;NUM
42;también;ADV
43;fue;AUX
44;había;AUX
45;era;AUX
46;muy;ADV
47;años;NOUN
48;hasta;ADV
49;desde;ADP
50;está;AUX
51;mi;DET
52;porque;SCONJ
53;qué;PRON
54;sólo;ADV
55;han;AUX
56;yo;PRON
57;hay;AUX
58;vez;NOUN
59;puede;AUX
60;todos;PRON
61;así;ADV
62;nos;PRON
63;ni;CONJ
64;parte;NOUN
65;tiene;VERB
66;él;PRON
67;uno;PRON
68;donde;PRON
69;bien;ADV
70;tiempo;NOUN
71;mismo;PRON
72;ese;DET
73;ahora;ADV
74;cada;DET
75;e;CONJ
76;vida;NOUN
77;otro;PRON
78;después;ADV
79;te;PRON
80;otros;PRON
81;aunque;SCONJ
82;esa;PRON
83;eso;PRON
84;hace;VERB
85;otra;PRON
86;gobierno;NOUN
87;tan;ADV
88;durante;ADP
89;siempre;ADV
90;día;NOUN
91;tanto;ADV
92;ella;PRON
93;tres;NUM
94;sí;ADV
95;dijo;VERB
96;sido;AUX
97;gran;ADJ
98;país;NOUN
99;según;SCONJ
100;menos;ADV
101;mundo;NOUN
102;año;NOUN
103;antes;ADV
104;estado;NOUN
105;contra;ADP
106;sino;CONJ
107;forma;NOUN
108;caso;NOUN
109;nada;PRON
110;hacer;VERB
111;general;ADJ
112;estaba;AUX
113;poco;ADV
114;estos;PRON
115;presidente;NOUN
116;mayor;ADJ
117;ante;ADP
118;unos;PRON
119;les;PRON
120;algo;PRON
121;hacia;ADP
122;casa;NOUN
123;ellos;PRON
124;ayer;ADV
125;hecho;ADJ
126;primera;ADJ
127;mucho;ADV
128;mientras;SCONJ
129;además;ADV
130;quien;PRON
131;momento;NOUN
132;millones;NOUN
133;esto;PRON
134;españa;NOUN
135;hombre;NOUN
136;están;AUX
137;pues;SCONJ
138;hoy;ADV
139;lugar;NOUN
140;madrid;NOUN
141;nacional;ADJ
142;trabajo;NOUN
143;otras;PRON
144;mejor;ADV
145;nuevo;ADJ
146;decir;VERB
147;algunos;PRON
148;entonces;ADV
149;todas;PRON
150;días;NOUN
151;debe;AUX
152;política;NOUN
153;cómo;PRON
154;casi;ADV
155;toda;PRON
156;tal;NOUN
157;luego;ADV
158;pasado;ADJ
159;primer;ADJ
160;medio;ADV
161;va;VERB
162;estas;PRON
163;sea;AUX
164;tenía;VERB
165;nunca;ADV
166;poder;NOUN
167;aquí;ADV
168;ver;VERB
169;veces;NOUN
170;embargo;NOUN
171;partido;NOUN
172;personas;NOUN
173;grupo;NOUN
174;cuenta;NOUN
175;pueden;AUX
176;tienen;VERB
177;misma;PRON
