NUMERO;HIPERONIMOS
1;fósiles
2;antigüedad
3;probable
4;quemazón
5;desarrollo
6;reproducción
7;equivalente
8;explicar
9;mundo
10;argentina
11;tratamiento
12;sitio
13;grupo
14;suerte
15;hombre
16;escena
17;mezclar
18;costilla
19;evocar
20;nombre
21;autor
22;pedazo
23;animales
24;licenciado
25;conducta
26;pantano
27;depredación
28;evidencia
29;mamíferos
30;lidia
31;menos
32;solo
33;frío
34;pasado
35;llegar
36;científico
37;investigación
38;reacción
39;hecho
40;investigador
41;materia
42;cuenta
43;hueso
44;bien
45;proceso
46;abrigo
47;figura
48;haber
49;tierra
50;conjunto
51;acá
52;método
53;ambiente
54;campo
55;actualidad
56;caminata
57;problema
58;falta
59;clave
60;trayectoria
61;son
62;paso
63;advertencia
64;presupuesto
65;principios
66;equipo
67;especie
68;es
69;desaparición
70;segundo
71;muestra
72;estudio
73;hoy
74;más
75;director
76;glaciación
77;cazar
78;imagen
79;era
80;causa
81;corte
82;edad
83;recorrer
84;fascinación
85;introducción
86;acción
87;resto
88;gente
89;datar
90;nuevas
91;grotesco
92;indicio
93;área
94;erosión
95;condiciones
96;historia
97;clima
98;oscuridad
99;trabajo
100;discusión
101;especial
102;tergiversar
103;hacer
104;batalla
105;embargo
106;no
107;caballo
108;conocer
109;fotografía
110;provincia
111;ahora
112;vera
113;gracias
114;hacienda
115;deshielo
116;animal
117;fuego
118;alto
119;daño
120;junto
121;ganar
122;humus
123;foto
124;caza
125;contaminación
126;filo
127;mar
128;largo
129;agricultor
130;tecnología
131;rol
132;doctor
133;años
134;humano
135;saber
136;romper
137;asociación
138;separar
139;trata
140;dejar
141;cosas
142;extinción
143;gigante
144;oficina
145;precisión
146;científica
147;piedra
148;tiempo
149;llanura
150;fósil
