NUMERO;HIPONIMOS
1;antigüedad
2;quemazón
3;desarrollo
4;reproducción
5;explicar
6;mundo
7;tratamiento
8;sitio
9;grupo
10;suerte
11;hombre
12;escena
13;mezclar
14;evocar
15;nombre
16;autor
17;pedazo
18;animales
19;conducta
20;evidencia
21;mamíferos
22;frío
23;pasado
24;llegar
25;científico
26;investigación
27;reacción
28;hecho
29;investigador
30;materia
31;cuenta
32;hueso
33;bien
34;proceso
35;abrigo
36;figura
37;haber
38;tierra
39;conjunto
40;método
41;ambiente
42;campo
43;actualidad
44;problema
45;falta
46;clave
47;trayectoria
48;son
49;paso
50;advertencia
51;equipo
52;especie
53;desaparición
54;muestra
55;estudio
56;director
57;cazar
58;imagen
59;era
60;causa
61;corte
62;edad
63;recorrer
64;fascinación
65;introducción
66;acción
67;resto
68;gente
69;nuevas
70;indicio
71;área
72;condiciones
73;historia
74;clima
75;oscuridad
76;trabajo
77;discusión
78;local
79;tergiversar
80;hacer
81;batalla
82;embargo
83;caballo
84;conocer
85;fotografía
86;vera
87;gracias
88;hacienda
89;animal
90;fuego
91;alto
92;humana
93;daño
94;ganar
95;foto
96;mar
97;largo
98;agricultor
99;tecnología
100;rol
101;doctor
102;humano
103;saber
104;romper
105;asociación
106;separar
107;trata
108;dejar
109;cosas
110;oficina
111;precisión
112;científica
113;piedra
114;tiempo
