NUMERO;SINONIMOS
1;usado
2;Estados
3;antigüedad
4;probable
5;quemazón
6;equivalente
7;mundo
8;indiscutible
9;argentina
10;tratamiento
11;único
12;sitio
13;grupo
14;antiguo
15;suerte
16;orgánica
17;hombre
18;escena
19;evocar
20;nombre
21;autor
22;animales
23;conducta
24;atrás
25;especies
26;evidencia
27;lidia
28;menos
29;datación
30;solo
31;frío
32;pasado
33;llegar
34;científico
35;investigación
36;hecho
37;materia
38;cuenta
39;inmenso
40;hueso
41;bien
42;proceso
43;abrigo
44;ya
45;figura
46;haber
47;tierra
48;conjunto
49;acá
50;método
51;ambiente
52;campo
53;poco
54;actualidad
55;caminata
56;problema
57;falta
58;estatura
59;clave
60;trayectoria
61;son
62;paso
63;huesos
64;advertencia
65;presupuesto
66;principios
67;también
68;especie
69;desaparición
70;segundo
71;muestra
72;estudio
73;hoy
74;última
75;contundente
76;más
77;director
78;imagen
79;causa
80;corte
81;edad
82;recorrer
83;fascinación
84;introducción
85;acción
86;resto
87;gente
88;nuevas
89;grotesco
90;sólo
91;indicio
92;área
93;condiciones
94;historia
95;clima
96;oscuridad
97;trabajo
98;discusión
99;local
100;especial
101;hacer
102;batalla
103;no
104;conocer
105;fotografía
106;perezoso
107;provincia
108;ahora
109;vera
110;después
111;gracias
112;hacienda
113;deshielo
114;animal
115;fuego
116;alto
117;humana
118;fértil
119;daño
120;junto
121;ganar
122;foto
123;caza
124;contaminación
125;filo
126;solamente
127;mar
128;largo
129;tecnología
130;rol
131;hace
132;muy
133;doctor
134;años
135;humano
136;saber
137;antes
138;romper
139;asociación
140;argentino
141;separar
142;trata
143;dejar
144;cosas
145;extinción
146;gigante
147;oficina
148;precisión
149;científica
150;piedra
151;tiempo
152;disponible
153;siempre
154;fósil
155;difícil
