NUMERO;PALABRA;HIPONIMOS
1;antigüedad;{'octavo', 'tercero', 'cuarto', 'grado', 'segundo', 'sexto', 'primera', 'primero', 'séptimo', 'estela', 'quinto', 'reinado', 'cuarta', 'condado', 'nivel'}
2;quemazón;{'encendido'}
3;desarrollo;{'crecimiento', 'progreso', 'avance', 'hábito', 'proliferación', 'cultivo', 'elaboración', 'despliegue'}
4;reproducción;{'cruce', 'generación'}
5;explicar;{'comentar', 'describir', 'interpretar'}
6;mundo;{'naturaleza'}
7;tratamiento;{'trato', 'revelado', 'rehabilitación', 'corrección'}
8;sitio;{'coincidencia', 'tumba', 'detención', 'dirección', 'inclinación', 'puesto', 'izquierda', 'curso', 'cima', 'representación', 'cumbre', 'zona', 'espacio', 'alturas', 'parada', 'pico', 'anterioridad', 'ventaja', 'pendiente', 'derecha', 'camino', 'trayectoria'}
9;grupo;{'vegetación', 'sistema', 'pedazos', 'flota', 'procesión', 'colección', 'variedad', 'vestuario', 'mano', 'clase', 'mundo', 'dato', 'reunión', 'pueblo', 'población', 'exposición', 'multitud', 'universo', 'defensa', 'flora', 'ley', 'tránsito', 'personas', 'tesoro', 'tráfico', 'categoría', 'tierra', 'fauna', 'gente', 'set', 'mezcla', 'familia', 'repertorio', 'reino', 'ciudadanos', 'esquema', 'carrera', 'edición', 'circulación', 'ciudadanía', 'raza', 'masas', 'biología', 'combinación', 'humanidad', 'lío', 'datos', 'partida', 'peña', 'juego', 'total', 'montaña', 'totalidad', 'arreglo', 'data', 'paquete', 'suma', 'aviación', 'hombre', 'exhibición', 'montón', 'acumulación', 'biblioteca', 'compañía', 'masa'}
10;suerte;{'fracaso', 'desgracia'}
11;hombre;{'guapo', 'mozo', 'ex', 'joven', 'niño', 'mundo', 'abuelo', 'tipo', 'viejo', 'tío', 'muchacho', 'separado', 'caballero', 'tierra', 'pareja', 'compañero', 'galán', 'garzón', 'toro', 'negro', 'anciano', 'señor', 'enamorado', 'lindo', 'novio', 'chico', 'señores', 'prometido'}
12;escena;{'sede', 'sitio', 'perfil', 'oscuridad', 'fondo', 'lateral', 'lugar', 'sombra'}
13;mezclar;{'cortar', 'incorporar', 'aumentar', 'consolidar', 'caer'}
14;evocar;{'conocer', 'saber', 'estimular', 'confundir', 'forzar', 'reconocer', 'buscar', 'encender'}
15;nombre;{'título', 'marca', 'firma', 'apellido'}
16;autor;{'novelista', 'dramático', 'autora', 'negro', 'escritora', 'poeta', 'escritor', 'trágico', 'periodista', 'polémica'}
17;pedazo;{'trago', 'puñado', 'rincón', 'recorte', 'toque', 'gota', 'segmento', 'pelo', 'par', 'mínimo', 'casco', 'sombra'}
18;animales;{'hembra', 'adulta', 'caza', 'gigante', 'cría', 'adulto', 'presa', 'pareja', 'macho', 'corredor'}
19;conducta;{'manera', 'corrección', 'ciudadanía', 'agresión', 'maneras', 'talante', 'seriedad', 'procedencia', 'propiedad', 'atentado'}
20;evidencia;{'razón', 'observación', 'situación', 'rastro', 'señal', 'fundamentos', 'estado', 'síntoma', 'particular', 'punto', 'predominio', 'constancia', 'documento', 'testimonio', 'registro', 'argumento', 'signo', 'caso', 'verdad', 'detalle', 'indicador', 'principios', 'relación', 'identificación', 'pista'}
21;mamíferos;{'pan', 'dama', 'pongo', 'martes'}
22;frío;{'frialdad', 'fresco'}
23;pasado;{'historia', 'ayer'}
24;llegar;{'encontrar', 'superar', 'acercarse', 'entrar', 'presentarse', 'abordar', 'llamar', 'pretender', 'descender', 'subir', 'acceder', 'ingresar', 'cumbre', 'caer'}
25;científico;{'química', 'físico', 'matemática', 'químico', 'física', 'matemático'}
