NUMERO;PALABRA
1;usado
2;parásitos
3;Estados
4;fósiles
5;probable
6;equivalente
7;indiscutible
8;argentina
9;único
10;antiguo
11;orgánica
12;costilla
13;cadera
14;licenciado
15;pantano
16;depredación
17;atrás
18;especies
19;andando
20;lidia
21;menos
22;datación
23;solo
24;probablemente
25;arqueológica
26;inmenso
27;ya
28;falsa
29;acá
30;poco
31;tirado
32;caminata
33;estatura
34;huesos
35;presupuesto
36;principios
37;también
38;es
39;segundo
40;hoy
41;última
42;contundente
43;más
44;glaciación
45;datar
46;grotesco
47;sólo
48;erosión
49;especial
50;publicado
51;no
52;perezoso
53;provincia
54;ahora
55;después
56;deshielo
57;desfavorable
58;fértil
59;junto
60;humus
61;caza
62;contaminación
63;filo
64;solamente
65;hace
66;muy
67;años
68;antes
69;argentino
70;oso
71;extinción
72;gigante
73;llanura
74;disponible
75;siempre
76;extinguido
77;fósil
78;difícil
