NUMERO;PALABRA
1;abajo
2;abandonado
3;abandonar
4;abandono
5;abandonó
6;abc
7;abierta
8;abiertas
9;abierto
10;abiertos
11;abogado
12;abogados
13;abre
14;abril
15;abrir
16;abrió
17;absoluta
18;absolutamente
19;absoluto
20;absurdo
21;abuela
22;abuelo
23;abundante
24;acaba
25;acababa
26;acabado
27;acabar
28;acabó
29;academia
30;académico
31;acaso
32;acceder
33;acceso
34;accidente
35;accidentes
36;acciones
37;acción
38;aceite
39;acepta
40;aceptación
41;aceptado
42;aceptar
43;aceptó
44;acerca
45;acercarse
46;acercó
47;acero
48;aclarar
49;acompaña
50;acompañado
51;acontecimiento
52;acontecimientos
53;actitud
54;actitudes
55;activa
56;actividad
57;actividades
58;activo
59;activos
60;acto
61;actor
62;actores
63;actos
64;actriz
65;actuaciones
66;actuación
67;actual
68;actuales
69;actualidad
70;actualmente
71;actuar
72;actúa
73;actúan
74;acudir
75;acuerdo
76;acuerdos
77;acumulación
78;acusaciones
79;acusación
80;acusado
81;acá
82;adaptación
83;adecuada
84;adecuado
85;adelante
86;además
87;adentro
88;administraciones
89;administración
90;administrativa
91;administrativo
92;admiración
93;admite
94;adn
95;adolescente
96;adolescentes
97;adolfo
98;adoptar
99;adquiere
100;adquirido
101;adquirir
102;adquisición
103;adultos
104;advierte
105;advirtió
106;aeropuerto
107;afecta
108;afectado
109;afectados
110;afectan
111;aficionados
112;afición
113;afirma
114;afirmación
115;afirmar
116;afirmó
117;afp
118;afrontar
119;afuera
120;afán
121;agencia
122;agencias
123;agenda
124;agente
125;agentes
126;agosto
127;agradable
128;agrega
129;agregar
130;agregó
131;agresión
132;agricultura
133;agrícola
134;agrícolas
135;agua
136;aguas
137;agustín
138;ahora
139;ahorro
140;ahí
141;aire
142;aires
143;aislamiento
144;ajeno
145;ajo
146;ajuste
147;alarma
148;alas
149;alba
150;alberto
151;alcalde
152;alcance
153;alcanza
154;alcanzado
155;alcanzar
156;alcanzó
157;alcohol
158;alegre
159;alegría
160;alejandro
161;alemana
162;alemanes
163;alemania
164;alemán
165;alerta
166;alfonso
167;alfredo
168;aliados
169;alianza
170;alicia
171;aliento
172;alimentación
173;alimento
174;alimentos
175;allá
176;allí
177;alma
178;almuerzo
179;alonso
180;alrededor
181;alta
182;altas
183;alteraciones
184;alternativa
185;alternativas
186;alto
187;altos
188;altura
189;alturas
190;alumno
191;alumnos
192;alvarez
193;alza
194;ama
195;amanecer
196;amante
197;amarillo
198;ambiental
199;ambiente
200;amenaza
201;amenazas
202;americana
203;americano
204;americanos
205;amiga
206;amigo
207;amigos
208;amistad
209;amo
210;amor
211;amparo
212;amplia
213;ampliación
214;ampliar
215;amplio
216;américa
217;ana
218;analizar
219;ancho
220;and
221;anda
222;andalucía
223;andar
224;andrés
225;angel
226;angeles
227;angustia
228;animal
229;animales
230;aniversario
231;anoche
232;ansiedad
233;antecedentes
234;antena
235;anterior
236;anteriores
237;anteriormente
238;antes
239;antigua
240;antiguas
241;antiguo
242;antiguos
243;antigüedad
244;antonio
245;anual
246;anuales
247;anuncia
248;anunciado
249;anuncio
250;anunció
251;análisis
252;aparato
253;aparatos
254;aparece
255;aparecen
256;aparecer
257;apareció
258;aparecía
259;aparente
260;aparentemente
261;aparición
262;apariencia
263;apartado
264;aparte
265;apenas
266;apertura
267;aplica
268;aplicaciones
269;aplicación
270;aplicar
271;aporte
272;apoya
273;apoyar
274;apoyo
275;apreciar
276;aprender
277;aprendido
278;aprendizaje
279;aprobación
280;aprobado
281;aprobó
282;aprovechar
283;aproximadamente
284;apunta
285;aquél
286;aquí
287;aragón
288;archivo
289;arco
290;arena
291;argentina
292;argentino
293;argentinos
294;argumento
295;argumentos
296;arias
297;arma
298;armada
299;armadas
300;armado
301;armados
302;armas
303;armonía
304;arquitecto
305;arquitectura
306;arreglo
307;arriba
308;arroz
309;art
310;arte
311;artes
312;artificial
313;artista
314;artistas
315;arturo
316;artículo
317;artículos
318;artística
319;artístico
320;asalto
321;asamblea
322;ascenso
323;asegura
324;aseguran
325;asegurar
326;aseguró
327;asesinado
328;asesinato
329;asesor
330;asia
331;asiento
332;asimismo
333;asistencia
334;asistentes
335;asistir
336;asociaciones
337;asociación
338;asociados
339;aspecto
340;aspectos
341;asturias
342;asumir
343;asunto
344;asuntos
345;así
346;ataque
347;ataques
348;atención
349;atender
350;atentado
351;atentados
352;atlántico
353;atlético
354;atmósfera
355;atractivo
356;atrás
357;audiencia
358;aumenta
359;aumentar
360;aumento
361;aun
362;ausencia
363;auto
364;automóvil
365;automóviles
366;autonomía
367;autor
368;autores
369;autoridad
370;autoridades
371;autorización
372;auténtica
373;auténtico
374;autónoma
375;autónomas
376;avance
377;avances
378;avanzar
379;avenida
380;aventura
381;aves
382;aviones
383;aviso
384;avión
385;ayer
386;ayuda
387;ayudar
388;ayudas
389;ayuntamiento
390;azar
391;aznar
392;azul
393;azules
394;azúcar
395;aérea
396;añade
397;añadir
398;añadió
399;año
400;años
401;aún
402;b
403;bahía
404;bailar
405;baile
406;baja
407;bajar
408;bajas
409;bajos
410;bajó
411;balance
412;balón
413;banca
414;banco
415;bancos
416;banda
417;bandas
418;bandera
419;banesto
420;bar
421;barba
422;barcelona
423;barco
424;barcos
425;barra
426;barrera
427;barrio
428;barrios
429;barro
430;basa
431;basada
432;basado
433;base
434;bases
435;basta
436;bastante
437;basura
438;batalla
439;baño
440;beber
441;bebidas
442;bebé
443;bella
444;bellas
445;belleza
446;bello
447;beneficio
448;beneficios
449;berlín
450;bernardo
451;beso
452;biblioteca
453;bien
454;bienes
455;bienestar
456;bilbao
457;blanca
458;blancas
459;blanco
460;blancos
461;bloque
462;boca
463;boda
464;bogotá
465;bolivia
466;bolsa
467;bolsillo
468;bolívar
469;bomba
470;borde
471;bosque
472;bosques
473;botella
474;brasil
475;brasileño
476;brazo
477;brazos
478;bretaña
479;breve
480;breves
481;brillante
482;británica
483;británico
484;bruselas
485;buen
486;buena
487;buenas
488;bueno
489;buenos
490;burgos
491;burguesía
492;busca
493;buscaba
494;buscan
495;buscando
496;buscar
497;bush
498;básica
499;básicamente
500;básicas
501;básico
502;básicos
503;búsqueda
504;c
505;caballero
506;caballo
507;caballos
508;cabe
509;cabello
510;cabeza
511;cabezas
512;cabo
513;cadena
514;cadenas
515;cadáver
516;cae
517;caer
518;café
519;caja
520;cajas
521;calderón
522;caldo
523;calendario
524;calidad
525;caliente
526;calificó
527;california
528;calle
529;calles
530;calma
531;calor
532;cama
533;cambia
534;cambiado
535;cambiar
536;cambio
537;cambios
538;cambió
539;caminar
540;camino
541;caminos
542;camisa
543;camión
544;campaña
545;campañas
546;campeonato
547;campesinos
548;campeón
549;campo
550;campos
551;canadá
552;canal
553;canales
554;canarias
555;cancha
556;canciller
557;canciones
558;canción
559;candidato
560;candidatos
561;candidatura
562;cansancio
563;cantante
564;cantar
565;cantidad
566;cantidades
567;canto
568;caos
569;capa
570;capaces
571;capacidad
572;capaz
573;capital
574;capitales
575;capitalismo
576;capitán
577;capítulo
578;capítulos
579;cara
580;caracas
581;caracteres
582;caracteriza
583;característica
584;características
585;caras
586;carbono
587;carbón
588;cardenal
589;carece
590;carga
591;cargo
592;cargos
593;caribe
594;cariño
595;carlos
596;carmen
597;carne
598;carnes
599;caro
600;carolina
601;carrera
602;carreras
603;carretera
604;carreteras
605;carro
606;carta
607;cartas
608;cartel
609;cartera
610;carácter
611;casa
612;casado
613;casas
614;casi
615;caso
616;casos
617;castellano
618;castigo
619;castilla
620;castillo
621;castro
622;catalana
623;catalanes
624;cataluña
625;catalán
626;catedral
627;categoría
628;categorías
629;católica
630;católicos
631;causa
632;causas
633;cayó
634;caza
635;caída
636;caído
637;cebolla
638;celebra
639;celebración
640;celebrado
641;celebrar
642;celebró
643;celular
644;cementerio
645;cena
646;censura
647;central
648;centrales
649;centro
650;centros
651;centímetros
652;cerca
653;cercana
654;cercano
655;cerebro
656;ceremonia
657;cero
658;cerrada
659;cerrado
660;cerrar
661;cerró
662;certeza
663;cerveza
664;chica
665;chicas
666;chico
667;chicos
668;chile
669;chileno
670;china
671;chino
672;choque
673;chávez
674;ciclo
675;cielo
676;ciencia
677;ciencias
678;científica
679;científico
680;científicos
681;cierra
682;cierre
683;cierta
684;ciertamente
685;cierto
686;cifra
687;cifras
688;cigarrillo
