NUMERO;PALABRA;ORDEN
1;abajo;INICIO
2;abandonado;NORMAL
3;abandonar;NORMAL
4;abandono;NORMAL
5;abandonó;NORMAL
6;abc;NORMAL
7;abierta;NORMAL
8;abiertas;NORMAL
9;abierto;NORMAL
10;abiertos;NORMAL
11;abogado;NORMAL
12;abogados;NORMAL
13;abre;NORMAL
14;abril;NORMAL
15;abrir;NORMAL
16;abrió;NORMAL
17;absoluta;NORMAL
18;absolutamente;NORMAL
19;absoluto;NORMAL
20;absurdo;NORMAL
21;abuela;NORMAL
22;abuelo;NORMAL
23;abundante;NORMAL
24;acaba;NORMAL
25;acababa;NORMAL
26;acabado;NORMAL
27;acabar;NORMAL
28;acabó;NORMAL
29;academia;NORMAL
30;académico;NORMAL
31;acaso;NORMAL
32;acceder;NORMAL
33;acceso;NORMAL
34;accidente;NORMAL
35;accidentes;NORMAL
36;acciones;NORMAL
37;acción;NORMAL
38;aceite;NORMAL
39;acepta;NORMAL
40;aceptación;NORMAL
41;aceptado;NORMAL
42;aceptar;NORMAL
43;aceptó;NORMAL
44;acerca;NORMAL
45;acercarse;NORMAL
46;acercó;NORMAL
47;acero;NORMAL
48;aclarar;NORMAL
49;acompaña;NORMAL
50;acompañado;NORMAL
51;acontecimiento;NORMAL
52;acontecimientos;NORMAL
53;actitud;NORMAL
54;actitudes;NORMAL
55;activa;NORMAL
56;actividad;NORMAL
57;actividades;NORMAL
58;activo;NORMAL
59;activos;NORMAL
60;acto;NORMAL
61;actor;NORMAL
62;actores;NORMAL
63;actos;NORMAL
64;actriz;NORMAL
65;actuaciones;NORMAL
66;actuación;NORMAL
67;actual;NORMAL
68;actuales;NORMAL
69;actualidad;NORMAL
70;actualmente;NORMAL
71;actuar;NORMAL
72;actúa;NORMAL
73;actúan;NORMAL
74;acudir;NORMAL
75;acuerdo;NORMAL
76;acuerdos;NORMAL
77;acumulación;NORMAL
78;acusaciones;NORMAL
79;acusación;NORMAL
80;acusado;NORMAL
81;acá;NORMAL
82;adaptación;NORMAL
83;adecuada;NORMAL
84;adecuado;NORMAL
85;adelante;NORMAL
86;además;NORMAL
87;adentro;NORMAL
88;administraciones;NORMAL
89;administración;NORMAL
90;administrativa;NORMAL
91;administrativo;NORMAL
92;admiración;NORMAL
93;admite;NORMAL
94;adn;NORMAL
95;adolescente;NORMAL
96;adolescentes;NORMAL
97;adolfo;NORMAL
98;adoptar;NORMAL
99;adquiere;NORMAL
100;adquirido;NORMAL
101;adquirir;NORMAL
102;adquisición;NORMAL
103;adultos;NORMAL
104;advierte;NORMAL
105;advirtió;NORMAL
106;aeropuerto;NORMAL
107;afecta;NORMAL
108;afectado;NORMAL
109;afectados;NORMAL
110;afectan;NORMAL
111;aficionados;NORMAL
112;afición;NORMAL
113;afirma;NORMAL
114;afirmación;NORMAL
115;afirmar;NORMAL
116;afirmó;NORMAL
117;afp;NORMAL
118;afrontar;NORMAL
119;afuera;NORMAL
120;afán;NORMAL
121;agencia;NORMAL
122;agencias;NORMAL
123;agenda;NORMAL
124;agente;NORMAL
125;agentes;NORMAL
126;agosto;NORMAL
127;agradable;NORMAL
128;agrega;NORMAL
129;agregar;NORMAL
130;agregó;NORMAL
131;agresión;NORMAL
132;agricultura;NORMAL
133;agrícola;NORMAL
134;agrícolas;NORMAL
135;agua;NORMAL
136;aguas;NORMAL
137;agustín;NORMAL
138;ahora;NORMAL
139;ahorro;NORMAL
140;ahí;NORMAL
141;aire;NORMAL
142;aires;NORMAL
143;aislamiento;NORMAL
144;ajeno;NORMAL
145;ajo;NORMAL
146;ajuste;NORMAL
147;alarma;NORMAL
148;alas;NORMAL
149;alba;NORMAL
150;alberto;NORMAL
151;alcalde;NORMAL
152;alcance;NORMAL
153;alcanza;NORMAL
154;alcanzado;NORMAL
155;alcanzar;NORMAL
156;alcanzó;NORMAL
