NUMERO;PALABRA
1835;f
1836;fabricación
1837;facilidad
1838;facilitar
1839;factor
1840;factores
1841;facultad
1842;facultades
1843;fallo
1844;falsa
1845;falso
1846;falta
1847;faltaba
1848;faltan
1849;fama
1850;familia
1851;familiar
1852;familiares
1853;familias
1854;famosa
1855;famoso
1856;fantasía
1857;fase
1858;fases
1859;favor
1860;favorable
1861;fe
1862;febrero
1863;fecha
1864;fechas
1865;federación
1866;federal
1867;federico
1868;felices
1869;felicidad
1870;felipe
1871;feliz
1872;femenina
1873;femenino
1874;fenómeno
1875;fenómenos
1876;feria
1877;fernando
1878;fernández
1879;festival
1880;ficción
1881;fidel
1882;fiebre
1883;fiel
1884;fiesta
1885;fiestas
1886;fig
1887;figura
1888;figuran
1889;figuras
1890;fija
1891;fila
1892;filas
1893;film
1894;filme
1895;filosofía
1896;fin
1897;fina
1898;final
1899;finales
1900;finalidad
1901;finalmente
1902;financiación
1903;financiamiento
1904;financiera
1905;financieras
1906;financiero
1907;financieros
1908;finanzas
1909;fines
1910;firma
1911;firmado
1912;firmas
1913;firme
1914;fiscal
1915;fiscales
1916;fiscalía
1917;flor
1918;flores
1919;florida
1920;flujo
1921;fomento
1922;fondo
1923;fondos
1924;forma
1925;formación
1926;formada
1927;formado
1928;formal
1929;forman
1930;formando
1931;formar
1932;formas
1933;formato
1934;foro
1935;fortaleza
1936;fortuna
1937;foto
1938;fotografía
1939;fotografías
1940;fotos
1941;fracaso
1942;fraga
1943;francesa
1944;franceses
1945;francia
1946;francisco
1947;franco
1948;francés
1949;frase
1950;frases
1951;fraude
1952;fray
1953;frecuencia
1954;frecuente
1955;frecuentemente
1956;frecuentes
1957;frente
1958;fresco
1959;frontera
1960;fronteras
1961;frutas
1962;fruto
1963;frutos
1964;fría
1965;frío
1966;fue
1967;fuego
1968;fuente
1969;fuentes
1970;fuera
1971;fueran
1972;fueron
1973;fuerte
1974;fuertes
1975;fuerza
1976;fuerzas
1977;fuese
1978;fuga
1979;fui
1980;fuimos
1981;fujimori
1982;funciona
1983;funcional
1984;funcionamiento
1985;funcionario
1986;funcionarios
1987;funciones
1988;función
1989;fundación
1990;fundamental
1991;fundamentales
1992;fundamentalmente
1993;fundamento
1994;fusión
1995;futura
1996;futuro
1997;fábrica
1998;fácil
1999;fácilmente
2000;félix
2001;física
2002;físicas
2003;físico
2004;físicos
2005;fórmula
2006;fórmulas
2007;fútbol
