NUMERO;PALABRA
2008;g
2009;gabinete
2010;gabriel
2011;gal
2012;gala
2013;galería
2014;galicia
2015;gallego
2016;gana
2017;ganado
2018;ganador
2019;ganar
2020;ganas
2021;ganó
2022;garantizar
2023;garantía
2024;garantías
2025;garcía
2026;garganta
2027;gas
2028;gasto
2029;gastos
2030;gato
2031;genera
2032;generaciones
2033;generación
2034;general
2035;generales
2036;generalitat
2037;generalmente
2038;generar
2039;genes
2040;genio
2041;gente
2042;gentes
2043;genética
2044;geografía
2045;george
2046;gerardo
2047;gerente
2048;gestión
2049;gesto
2050;gestos
2051;gil
2052;gira
2053;giro
2054;global
2055;gloria
2056;gobernador
2057;gobierno
2058;gobiernos
2059;gol
2060;goles
2061;golpe
2062;golpes
2063;gonzalo
2064;gonzález
2065;gracia
2066;gracias
2067;grado
2068;grados
2069;gramos
2070;gran
2071;granada
2072;grande
2073;grandes
2074;grasa
2075;grasas
2076;grave
2077;gravedad
2078;graves
2079;grecia
2080;gregorio
2081;griego
2082;gris
2083;grito
2084;gritos
2085;gritó
2086;grupo
2087;grupos
2088;gráfico
2089;guarda
2090;guardar
2091;guardia
2092;guardias
2093;guatemala
2094;gubernamental
2095;gubernamentales
2096;guerra
2097;guerras
2098;guerrero
2099;guerrilla
2100;guerrilleros
2101;guillermo
2102;guión
2103;gusta
2104;gustaba
2105;gustaría
2106;gustavo
2107;gusto
2108;gutiérrez
2109;guzmán
2110;guía
2111;género
2112;gómez
