NUMERO;PALABRA
2113;h
2114;ha
2115;habana
2116;haber
2117;haberse
2118;habido
2119;habilidad
2120;habitaciones
2121;habitación
2122;habitantes
2123;habitual
2124;habituales
2125;habitualmente
2126;habla
2127;hablaba
2128;hablado
2129;hablamos
2130;hablan
2131;hablando
2132;hablar
2133;habló
2134;habrá
2135;habría
2136;habrían
2137;había
2138;habíamos
2139;habían
2140;hace
2141;hacemos
2142;hacen
2143;hacer
2144;hacerle
2145;hacerlo
2146;hacerse
2147;haces
2148;hacienda
2149;haciendo
2150;hacía
2151;hacían
2152;haga
2153;hagan
2154;hago
2155;halla
2156;hambre
2157;han
2158;harina
2159;hará
2160;harán
2161;haría
2162;has
2163;hasta
2164;hay
2165;haya
2166;hayan
2167;he
2168;hecha
2169;hechas
2170;hecho
2171;hechos
2172;hectáreas
2173;hemos
2174;herencia
2175;herida
2176;heridas
2177;herido
2178;heridos
2179;hermana
2180;hermanas
2181;hermano
2182;hermanos
2183;hermosa
2184;hermoso
2185;hernández
2186;herramientas
2187;herrera
2188;hice
2189;hiciera
2190;hicieron
2191;hielo
2192;hierro
2193;hija
2194;hijas
2195;hijo
2196;hijos
2197;hilo
2198;hipótesis
2199;historia
2200;historias
2201;histórica
2202;histórico
2203;históricos
2204;hizo
2205;hogar
2206;hoja
2207;hojas
2208;holanda
2209;hombre
2210;hombres
2211;hombro
2212;hombros
2213;homenaje
2214;honduras
2215;honor
2216;hora
2217;horario
2218;horas
2219;horizonte
2220;horno
2221;horror
2222;hospital
2223;hospitales
2224;hotel
2225;hoteles
2226;hoy
2227;hubiera
2228;hubieran
2229;hubiese
2230;hubo
2231;huelga
2232;hueso
2233;huesos
2234;huevo
2235;huevos
2236;hugo
2237;huir
2238;humana
2239;humanas
2240;humanidad
2241;humano
2242;humanos
2243;humedad
2244;humo
2245;humor
2246;hábitos
2247;héctor
2248;héroe
