NUMERO;PALABRA
2249;iba
2250;iban
2251;idea
2252;ideal
2253;ideas
2254;identidad
2255;identificación
2256;identificar
2257;ideología
2258;idioma
2259;ido
2260;iglesia
2261;iglesias
2262;ignacio
2263;igual
2264;igualdad
2265;iguales
2266;igualmente
2267;ii
2268;iii
2269;ilegal
2270;ilusión
2271;imagen
2272;imaginación
2273;imaginar
2274;impacto
2275;impedir
2276;imperio
2277;impide
2278;implica
2279;impone
2280;imponer
2281;importa
2282;importancia
2283;importante
2284;importantes
2285;imposible
2286;imprescindible
2287;impresión
2288;impuesto
2289;impuestos
2290;impulso
2291;impuso
2292;imágenes
2293;incapacidad
2294;incapaz
2295;incendio
2296;incertidumbre
2297;incidencia
2298;incidente
2299;incluido
2300;incluidos
2301;incluir
2302;incluso
2303;incluye
2304;incluyen
2305;incluyendo
2306;incorporación
2307;incrementar
2308;incremento
2309;increíble
2310;independencia
2311;independiente
2312;independientes
2313;india
2314;indica
2315;indican
2316;indicar
2317;indicó
2318;indio
2319;indios
2320;indispensable
2321;individual
2322;individuales
2323;individuo
2324;individuos
2325;industria
2326;industrial
2327;industriales
2328;industrias
2329;indígena
2330;indígenas
2331;inevitable
2332;infancia
2333;infantil
2334;infección
2335;inferior
2336;inferiores
2337;infierno
2338;inflación
2339;influencia
2340;informa
2341;informaciones
2342;información
2343;informar
2344;informe
2345;informes
2346;informática
2347;informó
2348;infraestructura
2349;ingeniero
2350;ingeniería
2351;inglaterra
2352;inglesa
2353;ingleses
2354;inglés
2355;ingredientes
2356;ingreso
2357;ingresos
2358;inicia
2359;iniciado
2360;inicial
2361;inicialmente
2362;iniciar
2363;iniciativa
2364;iniciativas
2365;inicio
2366;inició
2367;inmediata
2368;inmediatamente
2369;inmediato
2370;inmensa
2371;inmigrantes
2372;inocente
2373;inquietud
2374;insiste
2375;insistió
2376;inspección
2377;instalaciones
2378;instalación
2379;instalado
2380;instancia
2381;instante
2382;institucional
2383;instituciones
2384;institución
2385;instituto
2386;instrucciones
2387;instrucción
2388;instrumento
2389;instrumentos
2390;integración
2391;integrado
2392;integral
2393;integrantes
2394;intelectual
2395;intelectuales
2396;inteligencia
2397;inteligente
2398;intenciones
2399;intención
2400;intensa
2401;intensidad
2402;intenso
2403;intenta
2404;intentando
2405;intentar
2406;intento
2407;intentos
2408;intentó
2409;intercambio
2410;interesa
2411;interesado
2412;interesados
2413;interesante
2414;interesantes
2415;intereses
2416;interior
2417;interna
2418;internacional
2419;internacionales
2420;internas
2421;internet
2422;interno
2423;internos
2424;interpretación
2425;interpretar
2426;intervenciones
2427;intervención
2428;intervenir
2429;interés
2430;intimidad
2431;introducción
2432;introducir
2433;intérpretes
2434;invasión
2435;inversiones
2436;inversión
2437;investigaciones
2438;investigación
2439;investigadores
2440;investigar
2441;invierno
2442;invitación
2443;invitado
2444;invitados
2445;inés
2446;inútil
2447;ir
2448;ira
2449;irak
2450;irene
2451;irse
2452;irá
2453;irán
2454;isabel
2455;isla
2456;islas
2457;israel
2458;israelí
2459;italia
2460;italiana
2461;italiano
2462;italianos
2463;izquierda
2464;izquierdo
