NUMERO;PALABRA
3718;rabia
3719;racional
3720;radical
3721;radio
3722;rafael
3723;rama
3724;ramas
3725;ramos
3726;ramírez
3727;ramón
3728;rango
3729;rapidez
3730;rara
3731;raro
3732;rasgos
3733;rato
3734;rayo
3735;rayos
3736;raza
3737;razonable
3738;razones
3739;razón
3740;raíces
3741;raíz
3742;raúl
3743;reacciones
3744;reacción
3745;reagan
3746;real
3747;reales
3748;realidad
3749;realiza
3750;realización
3751;realizada
3752;realizadas
3753;realizado
3754;realizados
3755;realizan
3756;realizando
3757;realizar
3758;realizaron
3759;realizará
3760;realizó
3761;realmente
3762;recepción
3763;rechazo
3764;recibe
3765;reciben
3766;recibido
3767;recibieron
3768;recibir
3769;recibió
3770;reciente
3771;recientemente
3772;recientes
3773;recinto
3774;recién
3775;recoge
3776;recoger
3777;reconoce
3778;reconocer
3779;reconocido
3780;reconocimiento
3781;reconoció
3782;recordaba
3783;recordar
3784;recordó
3785;recorrer
3786;recorrido
3787;recta
3788;rector
3789;recuerda
3790;recuerdo
3791;recuerdos
3792;recuperación
3793;recuperar
3794;recurrir
3795;recurso
3796;recursos
3797;red
3798;redacción
3799;redes
3800;redondo
3801;reducción
3802;reduce
3803;reducido
3804;reducir
3805;referencia
3806;referencias
3807;referente
3808;refiere
3809;refleja
3810;reflejo
3811;reflexión
3812;reforma
3813;reformas
3814;refugiados
3815;refugio
3816;regalo
3817;regional
3818;regionales
3819;regiones
3820;registrado
3821;registro
3822;registros
3823;región
3824;regla
3825;reglamento
3826;reglas
3827;regresar
3828;regreso
3829;regresó
3830;regulación
3831;regular
3832;reina
3833;reino
3834;relacionadas
3835;relacionado
3836;relacionados
3837;relaciones
3838;relación
3839;relativa
3840;relativamente
3841;relativo
3842;relato
3843;relieve
3844;religiosa
3845;religiosas
3846;religioso
3847;religiosos
3848;religión
3849;reloj
3850;remedio
3851;rendimiento
3852;renovación
3853;renta
3854;renuncia
3855;renunciar
3856;reparto
3857;repente
3858;repetir
3859;repite
3860;representa
3861;representación
3862;representan
3863;representante
3864;representantes
3865;representar
3866;represión
3867;reproducción
3868;república
3869;requiere
3870;requieren
3871;requisitos
3872;rescate
3873;reserva
3874;reservas
3875;residencia
3876;residuos
3877;resistencia
3878;resolución
3879;resolver
3880;respaldo
3881;respectivamente
3882;respectivos
3883;respecto
3884;respetar
3885;respeto
3886;respiración
3887;responde
3888;responder
3889;respondió
3890;responsabilidad
3891;responsabilidades
3892;responsable
3893;responsables
3894;respuesta
3895;respuestas
3896;restantes
3897;restaurante
3898;resto
3899;restos
3900;resulta
3901;resultaba
3902;resultado
3903;resultados
3904;resultan
3905;resultar
3906;resultaron
3907;resultó
3908;resumen
3909;retirada
3910;retirar
3911;retiro
3912;reto
3913;retorno
3914;retraso
3915;retrato
3916;reuniones
3917;reunión
3918;revela
3919;revisión
3920;revista
3921;revistas
3922;revolucionario
3923;revolución
3924;revés
3925;rey
3926;reyes
3927;rica
3928;ricardo
3929;richard
3930;rico
3931;ricos
3932;riesgo
3933;riesgos
3934;rigor
3935;rincón
3936;riqueza
3937;risa
3938;ritmo
3939;rival
3940;rivera
3941;robert
3942;roberto
3943;robo
3944;roca
3945;rocas
3946;rock
3947;rodillas
3948;rodrigo
3949;rodríguez
3950;roja
3951;rojas
3952;rojo
3953;rojos
3954;roldán
3955;roma
3956;romano
3957;romero
3958;romper
3959;ronda
3960;ropa
3961;rosa
3962;rosario
3963;rosas
3964;rostro
3965;rostros
3966;roto
3967;rubio
3968;rubén
3969;rueda
3970;ruedas
3971;ruido
3972;ruiz
3973;rumbo
3974;rumores
3975;ruptura
3976;rural
3977;rusia
3978;ruso
3979;ruta
3980;rápida
3981;rápidamente
3982;rápido
3983;récord
3984;régimen
3985;ríe
3986;río
3987;ríos
