NUMERO;PALABRA
3988;s
3989;sabe
3990;sabemos
3991;saben
3992;saber
3993;sabes
3994;sabido
3995;sabiduría
3996;sabor
3997;sabía
3998;sabían
3999;saca
4000;sacar
4001;sacerdote
4002;sacrificio
4003;sacó
4004;sal
4005;sala
4006;salamanca
4007;salario
4008;salarios
4009;salas
4010;sale
4011;salen
4012;salida
4013;salido
4014;salieron
4015;salinas
4016;salir
4017;salió
4018;salsa
4019;salto
4020;salud
4021;salvador
4022;salvar
4023;salvo
4024;salía
4025;salón
4026;san
4027;sanciones
4028;sangre
4029;sanidad
4030;santa
4031;santander
4032;santiago
4033;santo
4034;santos
4035;sara
4036;satisfacción
4037;satisfacer
4038;satisfecho
4039;sea
4040;sean
4041;sebastián
4042;seca
4043;sección
4044;seco
4045;secretaria
4046;secretario
4047;secretaría
4048;secreto
4049;secretos
4050;sector
4051;sectores
4052;secuencia
4053;secuestro
4054;secundaria
4055;sede
4056;seguida
4057;seguido
4058;seguidores
4059;seguimiento
4060;seguir
4061;seguirá
4062;segunda
4063;segundo
4064;segundos
4065;segura
4066;seguramente
4067;seguridad
4068;seguro
4069;seguros
4070;seguía
4071;selección
4072;selva
4073;semana
4074;semanas
4075;semejante
4076;semejantes
4077;semillas
4078;senado
4079;senador
4080;sencilla
4081;sencillo
4082;seno
4083;sensación
4084;sensibilidad
4085;sensible
4086;sentada
4087;sentado
4088;sentarse
4089;sentencia
4090;sentido
4091;sentidos
4092;sentimiento
4093;sentimientos
4094;sentir
4095;sentirse
4096;sentí
4097;sentía
4098;sepa
4099;separación
4100;separado
4101;septiembre
4102;ser
4103;seres
4104;sergio
4105;seria
4106;serie
4107;serio
4108;serlo
4109;serrano
4110;servicio
4111;servicios
4112;servido
4113;servir
4114;será
4115;serán
4116;sería
4117;serían
4118;sesiones
4119;sesión
4120;setenta
4121;sevilla
4122;sexo
4123;sexto
4124;sexual
4125;sexuales
4126;señal
4127;señala
4128;señalado
4129;señalan
4130;señalar
4131;señales
4132;señaló
4133;señor
4134;señora
4135;señores
4136;señorita
4137;sida
4138;sido
4139;siempre
4140;siendo
4141;sienta
4142;siente
4143;sienten
4144;siento
4145;sierra
4146;siga
4147;siglo
4148;siglos
4149;significa
4150;significación
4151;significado
4152;significativo
4153;signo
4154;signos
4155;sigue
4156;siguen
4157;siguiendo
4158;siguiente
4159;siguientes
4160;siguieron
4161;siguió
4162;silencio
4163;silla
4164;sillón
4165;silva
4166;similar
4167;similares
4168;simple
4169;simplemente
4170;simples
4171;simultáneamente
4172;sindical
4173;sindicales
4174;sindicato
4175;sindicatos
4176;singular
4177;sintió
4178;siquiera
4179;sirve
4180;sirven
4181;sirvió
4182;sistema
4183;sistemas
4184;sitio
4185;sitios
4186;situaciones
4187;situación
4188;situada
4189;situado
4190;sitúa
4191;soberanía
4192;social
4193;sociales
4194;socialismo
4195;socialista
4196;socialistas
4197;sociedad
4198;sociedades
4199;socio
4200;socios
4201;sofía
4202;sol
4203;sola
4204;solamente
4205;solar
4206;solas
4207;soldado
4208;soldados
4209;soledad
4210;solicitar
4211;solicitud
4212;solidaridad
4213;solitario
4214;solo
4215;solos
4216;soluciones
4217;solución
4218;solía
4219;sombra
4220;sombras
4221;sombrero
4222;sometido
4223;somos
4224;son
4225;sonido
4226;sonidos
4227;sonrisa
4228;sonrió
4229;soportar
4230;soporte
4231;sorprendente
4232;sorprendido
4233;sorprendió
4234;sorpresa
4235;sospecha
4236;sostiene
4237;sostuvo
4238;soviética
4239;soy
4240;suave
4241;sube
4242;subida
4243;subir
4244;subió
4245;subrayó
4246;sucede
4247;sucedido
4248;sucedió
4249;sucesión
4250;suceso
4251;sucesos
4252;sueldo
4253;suele
4254;suelen
4255;suelo
4256;suena
4257;suerte
4258;sueño
4259;sueños
4260;suficiente
4261;suficientemente
4262;suficientes
4263;sufre
4264;sufren
4265;sufrido
4266;sufrimiento
4267;sufrir
4268;sufrió
4269;suicidio
4270;suiza
4271;sujeto
4272;sujetos
4273;suma
4274;sumamente
4275;superar
4276;superficie
4277;superior
4278;superiores
4279;supervivencia
4280;supo
4281;supone
4282;suponer
4283;supongo
4284;suprema
4285;supremo
4286;supuesta
4287;supuestamente
4288;supuesto
4289;supuestos
4290;sur
4291;surge
4292;surgió
4293;suspensión
4294;sustancia
4295;sustancias
4296;sustitución
4297;suárez
4298;sábado
4299;sánchez
4300;sé
4301;sí
4302;símbolo
4303;símbolos
4304;síndrome
4305;síntesis
4306;síntomas
4307;sólo
