NUMERO;PALABRA
4308;t
4309;tabaco
4310;tabla
4311;tablas
4312;tal
4313;talento
4314;taller
4315;talleres
4316;tamaño
4317;también
4318;tampoco
4319;tan
4320;tanto
4321;tarde
4322;tardes
4323;tarea
4324;tareas
4325;tarifas
4326;tarjeta
4327;tasa
4328;tasas
4329;taxi
4330;taza
4331;teatral
4332;teatro
4333;techo
4334;tecnología
4335;tecnologías
4336;tecnológica
4337;tecnológico
4338;tejido
4339;tejidos
4340;tel
4341;tela
4342;telefónica
4343;televisión
4344;teléfono
4345;tema
4346;temas
4347;temor
4348;temperatura
4349;temperaturas
4350;templo
4351;temporada
4352;temporal
4353;temprano
4354;tendencia
4355;tendencias
4356;tendrá
4357;tendrán
4358;tendría
4359;tenemos
4360;tener
4361;tenga
4362;tengan
4363;tengo
4364;tenido
4365;teniendo
4366;teniente
4367;tenis
4368;tensiones
4369;tensión
4370;tentación
4371;tenía
4372;teníamos
4373;tenían
4374;teoría
4375;teorías
4376;terapia
4377;tercer
4378;tercera
4379;tercero
4380;tercio
4381;teresa
4382;termina
4383;terminado
4384;terminar
4385;terminó
4386;terreno
4387;terrenos
4388;terrestre
4389;terrible
4390;territorial
4391;territorio
4392;territorios
4393;terror
4394;terrorismo
4395;terrorista
4396;terroristas
4397;tesis
4398;tesoro
4399;testigo
4400;testigos
4401;testimonio
4402;texto
4403;textos
4404;the
4405;tiempo
4406;tiempos
4407;tienda
4408;tiendas
4409;tiende
4410;tiene
4411;tienen
4412;tienes
4413;tierra
4414;tierras
4415;tipo
4416;tipos
4417;tiro
4418;titular
4419;toca
4420;tocar
4421;tocó
4422;todavía
4423;toledo
4424;toma
4425;tomado
4426;toman
4427;tomando
4428;tomar
4429;tomate
4430;tomás
4431;tomó
4432;toneladas
4433;tono
4434;toque
4435;torneo
4436;torno
4437;toro
4438;toros
4439;torre
4440;torres
4441;total
4442;totalidad
4443;totalmente
4444;trabaja
4445;trabajaba
4446;trabajador
4447;trabajadores
4448;trabajan
4449;trabajando
4450;trabajar
4451;trabajo
4452;trabajos
4453;tradicional
4454;tradicionales
4455;tradición
4456;traducción
4457;trae
4458;tragedia
4459;traje
4460;trajo
4461;trama
4462;tramo
4463;tranquila
4464;tranquilidad
4465;tranquilo
4466;transcurso
4467;transferencia
4468;transformación
4469;transición
4470;transmisión
4471;transporte
4472;transportes
4473;traslado
4474;trastornos
4475;trata
4476;trataba
4477;tratado
4478;tratados
4479;tratamiento
4480;tratamientos
4481;tratan
4482;tratando
4483;tratar
4484;trate
4485;trato
4486;trató
4487;través
4488;trayectoria
4489;treinta
4490;tren
4491;tribunal
4492;tribunales
4493;trimestre
4494;triste
4495;tristeza
4496;triunfo
4497;tronco
4498;tropas
4499;tráfico
4500;tránsito
4501;tumba
4502;turismo
4503;turistas
4504;turno
4505;tuve
4506;tuviera
4507;tuvieron
4508;tuvo
4509;tv
4510;tve
4511;técnica
4512;técnicas
4513;técnico
4514;técnicos
4515;término
4516;términos
4517;tía
4518;tío
4519;título
4520;títulos
