PALABRA;OFFSET3.1;OFFSET3.0;IDPICTO
0;13764498-n;spa-30-13742358-n;2626
1;13764713-n;spa-30-13742573-n;2627
10;13768652-n;spa-30-13746512-n;7025
100;13772555-n;spa-30-13750415-n;29256
1000;13772984-n;spa-30-13750844-n;29258
11;13768812-n;spa-30-13746672-n;29260
12;13768925-n;spa-30-13746785-n;29262
13;13769339-n;spa-30-13747199-n;29264
14;13769488-n;spa-30-13747348-n;29266
15;13769609-n;spa-30-13747469-n;29268
16;13769746-n;spa-30-13747606-n;29270
17;13769865-n;spa-30-13747725-n;29272
18;13770005-n;spa-30-13747865-n;29274
19;13770129-n;spa-30-13747989-n;29276
2;13765409-n;spa-30-13743269-n;2628
20;13770268-n;spa-30-13748128-n;29550
21;13770386-n;spa-30-13748246-n;29280
22;04510146-n;spa-30-04502851-n;29282
23;13770633-n;spa-30-13748493-n;29284
24;13770762-n;spa-30-13748622-n;29286
25;13770903-n;spa-30-13748763-n;29288
26;13771030-n;spa-30-13748890-n;29290
27;13771157-n;spa-30-13749017-n;29292
28;13771286-n;spa-30-13749146-n;29294
29;13771418-n;spa-30-13749278-n;29296
3;13766184-n;spa-30-13744044-n;2629
30;13771547-n;spa-30-13749407-n;29298
4;13766444-n;spa-30-13744304-n;2630
40;13771667-n;spa-30-13749527-n;29320
5;13766661-n;spa-30-13744521-n;4893
50;13771784-n;spa-30-13749644-n;29342
500;13772852-n;spa-30-13750712-n;29344
6;13766862-n;spa-30-13744722-n;4894
60;13771918-n;spa-30-13749778-n;29364
7;13767056-n;spa-30-13744916-n;2633
70;13772034-n;spa-30-13749894-n;29388
8;13767226-n;spa-30-13745086-n;4896
80;13772304-n;spa-30-13750164-n;29410
9;13767410-n;spa-30-13745270-n;4897
90;13772437-n;spa-30-13750297-n;29430
abandonar;00615748-v;spa-30-00614057-v;21328
abanicar;01889573-v;spa-30-01885580-v;8480
abanico;03324991-n;spa-30-03320046-n;6871
abdominal;02945931-a;spa-30-02934594-a;23703
abdominal;05564972-n;spa-30-05557339-n;23703
abecedario;06509450-n;spa-30-06497459-n;3050
abecedario;05881364-n;spa-30-05872742-n;3050
abeja;02209508-n;spa-30-02206856-n;2239
abeto;11641124-n;spa-30-11620673-n;3051
abeto;11641011-n;spa-30-11620560-n;3051
abierto;01656822-a;spa-30-01652380-a;4549
abogada;10269647-n;spa-30-10249950-n;11160
abogado;10269647-n;spa-30-10249950-n;2636
abonar;00503838-v;spa-30-00502757-v;13020
abono;14883495-n;spa-30-14859344-n;6872
aborto;00231191-n;spa-30-00230324-n;14974
abotonar;01370565-v;spa-30-01367862-v;5357
abrazar;01427110-v;spa-30-01424456-v;4550
abrebotellas;02881204-n;spa-30-02877962-n;3226
abrelatas;02955021-n;spa-30-02951585-n;17346
abrigo;03061006-n;spa-30-03057021-n;2242
abrigo;03461607-n;spa-30-03456665-n;2242
abril;15235985-n;spa-30-15211189-n;6024
abrir;01348685-v;spa-30-01346003-v;11162
abrir;01349486-v;spa-30-01346804-v;6875
abrir;01582662-v;spa-30-01579813-v;10137
abrochar;01370565-v;spa-30-01367862-v;5357
abubilla;01832510-n;spa-30-01829869-n;13022
abuchear;00851872-v;spa-30-00850192-v;26611
abuela;10162267-n;spa-30-10142747-n;2243
abuelo;10161911-n;spa-30-10142391-n;2244
abuelos;10162692-n;spa-30-10143172-n;6876
aburrimiento;07555178-n;spa-30-07539790-n;20087
aburrir;01825834-v;spa-30-01821884-v;2245
abuso;00420921-n;spa-30-00419908-n;31001
acabar;02615799-v;spa-30-02609764-v;5358
acampar;02660091-v;spa-30-02653996-v;6025
acantilado;09269370-n;spa-30-09246464-n;8007
acariciar;01228779-v;spa-30-01226215-v;27407
acariciar;01228534-v;spa-30-01225970-v;27407
accesibilidad;04663006-n;spa-30-04655649-n;11478
accesible;00019169-a;spa-30-00019131-a;11465
acceso;00281976-n;spa-30-00281132-n;12246
accidente;07315954-n;spa-30-07301336-n;15828
acebo;12777217-n;spa-30-12756457-n;3052
aceite;07689142-n;spa-30-07673397-n;2246
aceitera;03145082-n;spa-30-03140431-n;6877
aceituna;12321962-n;spa-30-12301445-n;8316
aceitunas;07783320-n;spa-30-07767344-n;2874
acelerador;02673313-n;spa-30-02670683-n;10326
acelga;11853140-n;spa-30-11832671-n;2981
acelga;07736022-n;spa-30-07720277-n;2981
aceptar;02240906-v;spa-30-02236124-v;17042
aceptar;00799359-v;spa-30-00797697-v;25752
aceptar;00721155-v;spa-30-00719231-v;25752
acequia;03592374-n;spa-30-03587205-n;25758
acera;04222469-n;spa-30-04215402-n;2247
acercar;02057865-v;spa-30-02053941-v;5359
acercarse;02057865-v;spa-30-02053941-v;5359
acertijo;06798080-n;spa-30-06785223-n;24829
aclamar;00863389-v;spa-30-00861725-v;26615
aclarar;00257176-n;spa-30-00256309-n;28505
acné;14245594-n;spa-30-14222112-n;26616
acompañado;02258643-a;spa-30-02250899-a;10191
acompañar;02722642-v;spa-30-02716767-v;6880
acompañar;02722040-v;spa-30-02716165-v;25762
acondicionador;03092476-n;spa-30-03088020-n;21349
acordarse;00609334-v;spa-30-00607780-v;11357
acordeón;02675461-n;spa-30-02672831-n;5895
acostar;01989043-v;spa-30-01985029-v;4553
acostarse;01989043-v;spa-30-01985029-v;4553
acostarse;00017858-v;spa-30-00017865-v;4553
acróbata;09783804-n;spa-30-09764381-n;4762
actividad;00408356-n;spa-30-00407535-n;8008
actor;09784701-n;spa-30-09765278-n;4554
actriz;09787123-n;spa-30-09767700-n;4555
actuar;01718067-v;spa-30-01714208-v;4554
acuario;02735077-n;spa-30-02732072-n;26618
acueducto;02735438-n;spa-30-02732433-n;24826
acusada;09781524-n;spa-30-09762101-n;16093
acusado;09781524-n;spa-30-09762101-n;15984
acusado;09781434-n;spa-30-09762011-n;15984
acuífero;09224876-n;spa-30-09201998-n;23725
acá;00109415-r;spa-30-00108647-r;5382
adaptación;13448251-n;spa-30-13427078-n;12242
adaptar;00300361-v;spa-30-00299580-v;11687
adelantar;02053645-v;spa-30-02049696-v;8482
adelgazar;00045548-v;spa-30-00045817-v;6884
adherir;01359453-v;spa-30-01356750-v;24828
adición;00873785-n;spa-30-00872107-n;5868
adivinanza;06798080-n;spa-30-06785223-n;24829
adivinar;00918880-v;spa-30-00916909-v;11163
adiós;06642117-n;spa-30-06629610-n;5896
admirar;01831800-v;spa-30-01827858-v;11470
admirar;02169125-v;spa-30-02164694-v;11470
adolescencia;14449257-n;spa-30-14425853-n;20387
adolescente;09791452-n;spa-30-09772029-n;4673
adoptar;00414120-v;spa-30-00413195-v;21353
adornar;01679858-v;spa-30-01675963-v;7008
adorno;03174056-n;spa-30-03169390-n;10318
adquirir;02211988-v;spa-30-02207206-v;6457
adquisición;00079838-n;spa-30-00079018-n;16017
adquisición;13274154-n;spa-30-13253255-n;16017
adulta;09628463-n;spa-30-09605289-n;28201
adulto;09628463-n;spa-30-09605289-n;6886
aerogenerador;04598820-n;spa-30-04591517-n;25768
