NUMERO;PALABRA;TAG
1;llama;VERB
2;retos;NOUN
3;previsiblemente;ADV
4;país;NOUN
5;apuesta;VERB
6;recuperar;VERB
7;cuerpo;NOUN
8;propuestas;NOUN
9;están;AUX
10;partidos;NOUN
11;secretario;NOUN
12;excesivamente;ADV
13;Iglesias;ADJ
14;salir;VERB
15;fuerza;NOUN
16;demostrar;VERB
17;última;ADJ
18;empleados;NOUN
19;decantar;VERB
20;cargado;ADJ
21;oportunidad;NOUN
22;enemigo;ADJ
23;volverá;VERB
24;acabar;VERB
25;destacado;ADJ
26;aprobado;ADJ
27;luchando;VERB
28;volvió;VERB
29;victoria;NOUN
30;frente;ADV
31;dirección;NOUN
32;ya;ADV
33;defendido;ADJ
34;reiteradas;ADJ
35;mesa;NOUN
36;materia;NOUN
37;bloque;NOUN
38;horas;NOUN
39;alertar;VERB
40;acusaciones;NOUN
41;podían;AUX
42;creíble;ADJ
43;ejecutiva;NOUN
44;contenido;NOUN
45;disputa;NOUN
46;más;ADV
47;acuerdo;NOUN
48;meses;NOUN
49;grandes;ADJ
50;reivindicado;ADJ
51;vieron;VERB
52;punto;NOUN
53;tender;VERB
54;intervenciones;NOUN
55;acaparara;VERB
56;PAÍS;NOUN
57;incluyendo;VERB
58;morada;ADJ
59;arrogan;VERB
60;Creo;VERB
61;convencidos;ADJ
62;subrayado;ADJ
63;consultados;ADJ
64;creen;VERB
65;igualdad;NOUN
66;pasado;ADJ
67;labor;NOUN
68;inflexión;NOUN
69;recibidos;ADJ
70;ha;AUX
71;martes;NOUN
72;Cs;NOUN
73;lunes;NOUN
74;señalan;VERB
75;común;ADJ
76;posible;ADJ
77;implicaba;VERB
78;quiere;VERB
79;contestó;VERB
80;naranja;NOUN
81;cúpula;NOUN
82;tono;NOUN
83;enfatizado;ADJ
84;sumando;VERB
85;intentar;VERB
86;líder;NOUN
87;Arrimadas;ADJ
88;votar;VERB
89;lleva;VERB
90;valentía;NOUN
91;ataques;NOUN
92;electoral;ADJ
93;estuvo;VERB
94;moderado;ADJ
95;alternativa;NOUN
96;dirigido;ADJ
97;dejó;VERB
98;socialista;ADJ
99;general;ADJ
100;beneficiado;NOUN
101;míos;ADJ
102;izquierda;NOUN
103;voto;NOUN
104;pactos;NOUN
105;revelador;ADJ
106;escaños;NOUN
107;hacer;VERB
108;Solo;ADJ
109;unir;VERB
110;preferir;VERB
111;mano;NOUN
112;habían;AUX
113;acusó;VERB
114;campaña;NOUN
115;fuentes;NOUN
116;semana;NOUN
117;poco;ADV
118;exhaustivo;ADJ
119;hecho;ADJ
120;diciendo;AUX
121;evitaba;VERB
122;puso;VERB
123;debaten;VERB
124;hoy;ADV
125;ganador;NOUN
126;insistentemente;ADV
127;segundo;ADJ
128;salió;VERB
129;adversario;NOUN
130;hemos;AUX
131;socialistas;NOUN
132;única;ADJ
133;campaña;NOUN
134;pie;NOUN
135;gobernar;VERB
136;también;ADV
137;caso;NOUN
138;formato;NOUN
139;votantes;NOUN
140;liderar;VERB
141;populares;ADJ
142;sucio;ADJ
143;manos;NOUN
144;quieren;VERB
145;único;ADJ
146;tanto;ADV
147;entienden;VERB
148;dudan;VERB
149;años;NOUN
150;torno;NOUN
151;respuesta;NOUN
152;insultos;NOUN
153;momentos;NOUN
154;sangre;NOUN
155;central;ADJ
156;dar;VERB
157;candidatos;NOUN
158;positivo;ADJ
159;presidente;NOUN
160;proyectarse;ADJ
161;parte;NOUN
162;poselectorales;ADJ
163;descalificativos;NOUN
164;dejar;VERB
165;criticado;ADJ
166;partido;NOUN
167;preguntas;NOUN
168;fue;AUX
169;es;AUX
170;candidato;NOUN
171;voy;VERB
172;españoles;NOUN
173;viendo;VERB
174;exabruptos;NOUN
175;volverán;VERB
176;da;VERB
177;derecha;ADJ
178;listado;ADJ
179;repreguntas;NOUN
180;dirigentes;NOUN
181;derechas;NOUN
182;soy;AUX
183;pactar;VERB
184;proyecto;NOUN
185;atrevidas;NOUN
186;puerta;NOUN
187;vez;NOUN
188;cerrar;VERB
189;entró;VERB
190;debate;NOUN
191;demasiado;ADV
192;trabajo;NOUN
193;abril;NOUN
194;indecisos;ADJ
195;presidenciable;ADJ
196;choque;NOUN
197;Podemos;VERB
198;todavía;ADV
199;fuerzas;NOUN
200;trata;VERB
201;recordó;VERB
202;popular;ADJ
203;pactará;VERB
204;Casado;ADJ
205;hizo;VERB
206;estrategia;NOUN
207;enfrentamiento;NOUN
208;advertirles;NOUN
209;enterado;ADJ
210;sugirió;VERB
211;centrado;ADJ
212;mucho;ADV
213;está;VERB
214;noche;NOUN
215;indican;VERB
216;manchadas;NOUN
217;llamó;VERB
218;asalto;NOUN
219;juicio;NOUN
220;Ciudadanos;ADJ
221;pacto;NOUN
222;candidata;NOUN
223;formación;NOUN
224;Fuentes;NOUN
225;protagonismo;NOUN
226;cita;NOUN
227;ministro;NOUN
228;han;AUX
229;no;ADV
230;hacer;VERB
231;plano;NOUN
232;noquear;VERB
233;sea;AUX
234;atrás;ADV
235;tratar;VERB
236;centroderecha;NOUN
237;graves;ADJ
238;intención;NOUN
239;votos;NOUN
240;liderazgo;NOUN
241;necesarias;ADJ
242;logró;VERB
243;ayer;ADV
244;estado;NOUN
245;cuerpo;NOUN
246;quejado;ADJ
247;quería;VERB
248;perfil;NOUN
249;primado;ADJ
250;capaz;ADJ
251;mismo;ADJ
252;considera;VERB
253;claro;ADJ
254;ofensiva;NOUN
255;puede;AUX
