NUMERO;PALABRA;TAG
1;datan;VERB
2;usado;ADJ
3;desentramar;VERB
4;asomando;VERB
5;laboratorio;NOUN
6;Hace;AUX
7;últimos;ADJ
8;parásitos;NOUN
9;separarlos;NOUN
10;Estados;NOUN
11;laboratorios;NOUN
12;fósiles;NOUN
13;quedaban;VERB
14;acaba;VERB
15;antigüedad;NOUN
16;probable;ADJ
17;quemazón;NOUN
18;desarrollo;NOUN
19;reproducción;NOUN
20;Tenemos;VERB
21;equivalente;ADJ
22;aceleró;VERB
23;fue;AUX
24;gigantes;NOUN
25;cuchillo;NOUN
26;asegura;VERB
27;explicar;VERB
28;mundo;NOUN
29;Es;AUX
30;indiscutible;ADJ
31;No;ADV
32;quemazones;NOUN
33;arroyo;NOUN
34;argentina;ADJ
35;humedad;NOUN
36;destaca;VERB
37;tratamiento;NOUN
38;único;ADJ
39;sitio;NOUN
40;grupo;NOUN
41;antiguo;ADJ
42;suerte;NOUN
43;orgánica;ADJ
44;hombre;NOUN
45;escena;NOUN
46;nuevos;ADJ
47;produzca;VERB
48;indica;VERB
49;kilómetros;NOUN
50;iguales;ADJ
51;mezclar;VERB
52;costilla;NOUN
53;evocar;VERB
54;interesantes;ADJ
55;nombre;NOUN
56;pueden;AUX
57;cadera;NOUN
58;autor;NOUN
59;pedazo;NOUN
60;animales;NOUN
61;licenciado;ADJ
62;Así;ADV
63;depredaron;VERB
64;Quedan;VERB
65;conducta;NOUN
66;pantano;ADJ
67;rompió;VERB
68;depredación;NOUN
69;lejos;ADV
70;costillas;NOUN
71;primitiva;ADJ
72;atrás;ADV
73;especies;NOUN
74;afirma;VERB
75;andando;VERB
76;jugó;VERB
77;Están;AUX
78;culpas;NOUN
79;ennegrecido;ADJ
80;títulos;NOUN
81;evidencia;NOUN
82;redatar;VERB
83;ahí;ADV
84;mamíferos;NOUN
85;siguieron;VERB
86;juntan;VERB
87;lidia;NOUN
88;menos;ADV
89;reactivando;VERB
90;moléculas;NOUN
91;datación;NOUN
92;9000;NOUN
93;seres;NOUN
94;analizada;ADJ
95;solo;ADJ
96;frío;NOUN
97;cargan;VERB
98;Entonces;ADV
99;Acá;ADV
100;probablemente;ADV
101;pasado;ADJ
102;Museo;NOUN
103;llegar;VERB
104;científico;ADJ
105;describe;VERB
106;cazadas;ADJ
107;forman;VERB
108;hechos;NOUN
109;investigación;NOUN
110;bajas;NOUN
111;reacción;NOUN
112;hecho;ADJ
113;contaminando;VERB
114;arqueológica;ADJ
115;concluye;VERB
116;investigador;NOUN
117;materia;NOUN
118;cuenta;VERB
119;esperable;ADJ
120;inmenso;ADJ
121;trabajando;VERB
122;juntas;ADJ
123;ha;AUX
124;convertiría;NOUN
125;hueso;NOUN
126;bien;ADV
127;lenta;ADJ
128;estadounidenses;ADJ
129;poblaciones;NOUN
130;teníamos;VERB
131;proceso;NOUN
132;humanos;NOUN
133;desenterraron;VERB
134;Después;ADV
135;dataciones;NOUN
136;abrigo;NOUN
137;ya;ADV
138;falsa;ADJ
139;pastizales;NOUN
140;figura;VERB
141;haber;AUX
142;tierra;NOUN
143;conjunto;NOUN
144;acá;ADV
145;produjo;VERB
146;estimada;ADJ
147;investigadores;NOUN
148;momento;NOUN
149;detalla;VERB
150;campos;NOUN
151;método;NOUN
152;convencionales;ADJ
153;estaban;AUX
154;Antropología;NOUN
155;ambiente;ADV
156;campo;NOUN
157;1500;NOUN
158;poco;ADV
159;actualidad;NOUN
160;arrojan;VERB
161;tirado;ADJ
162;agota;VERB
163;caminata;NOUN
164;advierte;VERB
165;aman;VERB
166;tiene;VERB
167;problema;NOUN
168;eventos;NOUN
169;Ahora;ADV
170;fueron;AUX
171;Hasta;ADV
172;falta;NOUN
173;exista;ADJ
174;marcas;NOUN
175;hayan;AUX
176;estatura;NOUN
177;sospechamos;ADJ
178;clave;NOUN
179;ocurrido;ADJ
180;trayectoria;NOUN
181;puede;AUX
182;son;AUX
183;paso;NOUN
184;ataca;VERB
185;huesos;NOUN
186;hicieron;VERB
187;metros;NOUN
188;cortando;VERB
189;reflejan;VERB
190;agrega;VERB
191;húmicos;NOUN
192;disrupciones;NOUN
193;advertencia;NOUN
194;hallados;ADJ
195;coexistieron;VERB
196;quejoso;NOUN
197;sospechas;NOUN
198;habían;AUX
199;presupuesto;NOUN
200;principios;NOUN
201;también;ADV
202;datarlo;NOUN
203;lanzas;NOUN
204;equipo;NOUN
205;especie;NOUN
206;También;ADV
207;logra;VERB
208;grandes;ADJ
209;es;AUX
210;desaparición;NOUN
211;sitios;NOUN
212;Ángeles;NOUN
213;tenemos;VERB
214;segundo;ADJ
215;pasó;VERB
216;megaterio;ADJ
217;permiten;VERB
218;muestra;VERB
219;8000;NOUN
220;estudio;NOUN
221;megamamíferos;ADJ
222;herramientas;NOUN
223;hoy;ADV
224;última;ADJ
225;ácidos;NOUN
226;pedazos;NOUN
227;contundente;ADJ
228;más;ADV
229;12600;NOUN
230;director;NOUN
231;procesando;VERB
232;glaciación;NOUN
233;explica;VERB
234;aclara;VERB
235;cazar;VERB
236;imagen;NOUN
237;asegurás;NOUN
238;dio;VERB
239;era;AUX
240;causa;NOUN
241;corte;NOUN
242;edad;NOUN
243;evidencias;NOUN
244;siguen;VERB
245;recorrer;VERB
246;han;AUX
247;hay;AUX
248;fascinación;NOUN
249;argentinos;ADJ
250;introducción;NOUN
251;acción;NOUN
252;resto;NOUN
253;ocurre;VERB
254;gente;NOUN
255;controversia;NOUN
256;dinstinguido;NOUN
257;sabe;VERB
258;datar;VERB
259;nuevas;ADJ
260;grotesco;ADJ
261;sólo;ADV
262;Digamos;VERB
263;indicio;NOUN
264;área;NOUN
265;dudas;NOUN
266;erosión;NOUN
267;condiciones;NOUN
268;historia;NOUN
269;clima;NOUN
270;rejuvenece;VERB
271;fúlvicos;ADJ
272;fémur;NOUN
273;oscuridad;NOUN
274;carneando;VERB
275;pampeana;ADJ
276;investigaciones;NOUN
277;había;AUX
278;trabajo;NOUN
279;discusión;NOUN
280;sí;ADV
281;sentado;ADJ
282;local;ADJ
283;toneladas;NOUN
284;convertido;ADJ
285;especial;ADJ
286;tergiversar;VERB
287;hacer;VERB
288;publicado;ADJ
289;batalla;NOUN
290;suspendido;ADJ
291;Científicas;ADJ
292;embargo;NOUN
293;no;ADV
294;instrumentos;NOUN
295;madroño;NOUN
296;2003;NOUN
297;descontaminarse;VERB
298;jardineros;NOUN
299;caballo;NOUN
300;examinaron;VERB
301;determinantes;ADJ
302;reactivan;VERB
303;hallazgos;NOUN
304;Técnicas;NOUN
305;negra;ADJ
306;conocer;VERB
307;fotografía;NOUN
308;permite;VERB
309;perezoso;ADJ
310;erige;VERB
311;provincia;NOUN
312;Investigaciones;NOUN
313;investigadora;ADJ
314;artefacto;NOUN
315;creemos;VERB
316;sorprendió;VERB
317;cazadores;NOUN
318;ahora;ADV
319;grupos;NOUN
320;vera;NOUN
321;después;ADV
322;12000;NOUN
323;métodos;NOUN
324;gracias;NOUN
325;enfatizado;ADJ
326;confirmamos;VERB
327;Mundo;NOUN
328;demuestran;VERB
329;hacienda;NOUN
330;está;AUX
331;aparecieron;VERB
332;deshielo;NOUN
333;animal;ADJ
334;encontramos;VERB
335;apetito;NOUN
336;colágeno;NOUN
337;desfavorable;ADJ
338;académicos;NOUN
339;fuego;NOUN
340;dimos;VERB
341;alto;ADJ
342;humana;ADJ
343;fértil;ADJ
344;toros;NOUN
345;proyectiles;NOUN
346;sido;AUX
347;daño;NOUN
348;encima;ADV
349;respecto;NOUN
350;artefactos;NOUN
351;junto;ADJ
352;ganar;VERB
353;humus;NOUN
354;foto;NOUN
355;daba;VERB
356;caza;NOUN
357;contaminación;NOUN
358;filo;NOUN
359;solamente;ADV
360;inició;VERB
361;operado;ADJ
362;mar;NOUN
363;largo;ADJ
364;agricultor;NOUN
365;propios;ADJ
366;conviene;VERB
367;prehistórica;ADJ
368;tecnología;NOUN
369;comieron;VERB
370;rol;NOUN
371;descubrimiento;NOUN
372;reciente;ADJ
373;hace;VERB
374;muy;ADV
375;doctor;NOUN
376;años;NOUN
377;humano;ADJ
378;tasas;NOUN
379;saber;VERB
380;antes;ADV
381;romper;VERB
382;asociación;NOUN
383;desarrolló;VERB
384;argentino;ADJ
385;oso;NOUN
386;separar;VERB
387;cena;NOUN
388;trata;VERB
389;podríamos;AUX
390;juntamos;VERB
391;armados;ADJ
392;podrán;AUX
393;dejar;VERB
394;sucesivas;ADJ
395;extinguieron;VERB
396;cosas;NOUN
397;extinción;NOUN
398;trabajó;VERB
399;gigante;NOUN
400;Encontramos;VERB
401;oficina;NOUN
402;carnearon;VERB
403;tipos;NOUN
404;hallazgo;NOUN
405;﻿Los;ADJ
406;precisión;NOUN
407;7500;NOUN
408;científica;ADJ
409;estuvieron;AUX
410;están;AUX
411;piedra;NOUN
412;tiempo;NOUN
413;Estaban;AUX
414;larga;ADJ
415;llanura;NOUN
416;llegaron;VERB
417;disponible;ADJ
418;siempre;ADV
419;extinguido;ADJ
420;fósil;NOUN
421;hicimos;VERB
422;Hay;AUX
423;coherentes;ADJ
424;difícil;ADJ
425;arqueólogos;NOUN
426;tuvo;VERB
