NUMERO;HIPERONIMOS
1;exposición
2;coste
3;biodiversidad
4;disponibilidad
5;fósiles
6;carne
7;constante
8;decenio
9;atajar
10;medidas
11;turismo
12;crítico
13;alimentos
14;gestión
15;seguridad
16;desarrollo
17;ocurrir
18;junto
19;lugar
20;disminución
21;no
22;causa
23;transformación
24;cifra
25;cero
26;línea
27;inundación
28;fauna
29;incremento
30;mejor
31;tierra
32;riesgo
33;erosión
34;enfermedades
35;fertilizantes
36;media
37;ecosistemas
38;generar
39;partículas
40;meta
41;vegetación
42;marco
43;espera
44;listado
45;puntos
46;repercusión
47;usar
48;competencia
49;negocio
50;sociedad
51;variedad
52;basura
53;consumo
54;trabajadores
55;ritmo
56;sexta
57;minería
58;descenso
59;frenar
60;mundial
61;subsistencia
62;decir
63;baja
64;pérdidas
65;proteger
66;estima
67;salud
68;condiciones
69;primera
70;desplazamiento
71;captación
72;ahora
73;mesa
74;conocimiento
75;creciente
76;salvaje
77;controlar
78;debe
79;mundo
80;reto
81;persistir
82;salir
83;mares
84;vida
85;menor
86;cambio
87;detener
88;hombre
89;peligro
90;bosques
91;incapacidad
92;constancia
93;adoptar
94;potable
95;manera
96;dulce
97;puesto
98;dado
99;profundidad
100;distribución
101;decoloración
102;años
103;cantidad
104;ser
105;menos
106;edición
107;química
108;exceso
109;utilizar
110;problema
111;producción
112;parte
113;conflicto
114;reducirse
115;lucha
116;general
117;extensión
118;actualidad
119;puerta
120;aire
121;acceso
122;escala
123;sur
124;situación
125;tala
126;metales
127;tiempo
128;economía
129;agentes
130;primero
131;prepararse
132;pobreza
133;temperatura
134;inglés
135;escenario
136;análisis
137;data
138;llegar
139;estado
140;futuro
141;eliminación
142;suelo
143;mantener
144;habitantes
145;estudio
146;agua
147;promedio
148;superficie
149;clave
150;alcanzar
151;recursos
152;objetivo
153;negociar
154;plásticos
155;semejante
156;extracción
157;tanto
158;calor
159;fertilidad
160;mitigar
161;obtención
162;crisis
163;bienestar
164;dirección
165;carbono
166;avance
167;materia
168;calidad
169;prestar
170;negativo
171;más
172;utilización
173;tomarse
174;deterioro
175;mar
176;reducir
177;forma
178;ambiente
179;modelo
180;mitad
181;humano
182;mejora
183;degradación
184;plástico
185;servicios
186;producir
187;valor
188;alimentar
189;carga
190;cumplir
191;población
192;almacenar
193;equivalente
194;medio
195;transporte
196;animales
197;ganadería
198;incumplir
199;factor
200;extinción
201;siglo
202;protección
203;sobreexplotación
204;medios
205;ingresos
206;senda
207;acelerar
208;abundancia
209;contaminación
210;beneficios
211;internacional
212;son
213;asistencia
214;morbilidad
215;explotación
216;humanidad
217;amenaza
218;recurso
219;científico
220;ejemplo
221;informe
222;sexto
223;uso
224;dramática
225;pérdida
226;evitar
227;grave
228;altura
229;ecosistema
230;probable
231;mejorar
232;riego
233;propagación
234;vertebrados
235;es
236;culpa
237;control
238;tomar
239;comercio
240;acuerdo
241;reducción
242;agricultura
243;área
244;efectos
245;gran
246;sentido
